angle of diffraction	 विवर्तन कोण
angle of elevation	 उन्‍नयन कोण
angle of incidence	 आपतन कोण
angle of inclination	 आनति कोण
angle of projection	 प्रक्षेप कोण
angle of reflection	 परावर्तन कोण
angle of refraction	 अपवर्तन कोण
angle of rotation	 घूर्णन कोण
angular	 कोणीय
angular acceleration	 कोणीय त्वरण
angular distance	 कोणीय दूरी
angular motion	 कोणीय गति
angular speed	 कोणीय चाल
angular velocity	 कोणीय वेग
annual instalment	 वार्षिक किस्त
annuity	 वार्षिकी
annuity due	 देय वार्षिकी
annulus	 वलयिका
answer	 उत्तर
antecedent	 पूर्वपद, पूर्ववर्ती
anthropology	 मानव विज्ञान, नृविज्ञान
anticlockwise	 वामावर्त
antiderivative	 प्रतिअवकलज
antilogarithm	 प्रतिलघुगणक
